player_id,gameweek,predicted_points,predicted_band,gate_probability,actual_points,abs_error
1,6,0.0,0-2,0.0488,0,0.0
1,7,0.0,0-2,0.0332,0,0.0
1,8,0.0,0-2,0.0352,0,0.0
1,9,0.0,0-2,0.0305,0,0.0
1,10,0.0,0-2,0.0236,0,0.0
1,11,0.16,0-2,0.2064,0,0.16
1,12,0.0,0-2,0.0364,0,0.0
1,13,0.0,0-2,0.0348,0,0.0
1,14,0.0,0-2,0.0255,0,0.0
1,15,0.0,0-2,0.0333,0,0.0
1,16,0.0,0-2,0.0176,0,0.0
1,17,0.0,0-2,0.0218,0,0.0
1,18,0.0,0-2,0.0397,0,0.0
1,19,0.0,0-2,0.018,0,0.0
1,20,0.0,0-2,0.0188,0,0.0
1,21,0.0,0-2,0.0342,0,0.0
1,22,0.0,0-2,0.0268,0,0.0
1,23,0.0,0-2,0.0316,0,0.0
1,24,0.0,0-2,0.0221,0,0.0
1,25,0.0,0-2,0.0232,0,0.0
1,34,0.19,0-2,0.2153,0,0.19
1,35,0.1,0-2,0.1715,0,0.1
1,36,0.0,0-2,0.0532,0,0.0
1,37,0.0,0-2,0.0438,0,0.0
1,38,0.0,0-2,0.0521,0,0.0
1,6,0.0,0-2,0.0502,0,0.0
1,7,0.0,0-2,0.0446,0,0.0
1,8,0.0,0-2,0.0361,0,0.0
1,9,0.0,0-2,0.0461,0,0.0
1,10,0.0,0-2,0.04,0,0.0
1,11,0.0,0-2,0.0417,0,0.0
1,12,0.0,0-2,0.0344,0,0.0
1,13,0.0,0-2,0.0459,0,0.0
1,14,0.0,0-2,0.0207,0,0.0
1,15,0.0,0-2,0.0212,0,0.0
1,16,0.0,0-2,0.0341,0,0.0
1,17,0.0,0-2,0.0176,0,0.0
1,18,0.0,0-2,0.0168,0,0.0
1,19,0.0,0-2,0.0471,0,0.0
1,20,0.0,0-2,0.0184,0,0.0
1,21,0.0,0-2,0.0176,0,0.0
1,22,0.0,0-2,0.0218,0,0.0
1,23,0.0,0-2,0.0338,0,0.0
1,24,0.0,0-2,0.0361,0,0.0
1,25,0.0,0-2,0.032,0,0.0
1,26,0.0,0-2,0.0193,1,1.0
1,27,3.2,3-5,0.5247,0,3.2
1,28,0.52,0-2,0.301,0,0.52
1,29,0.25,0-2,0.2408,0,0.25
1,30,0.0,0-2,0.0995,0,0.0
1,37,6.43,6-9,0.767,0,6.43
1,38,0.77,0-2,0.3372,8,7.23
