element,name,target_gw,target_minutes,target_points
1,David Raya Martín,6,90,2.0
1,David Raya Martín,7,90,6.0
1,David Raya Martín,8,90,6.0
1,David Raya Martín,9,90,6.0
1,David Raya Martín,10,90,6.0
1,David Raya Martín,11,90,1.0
1,David Raya Martín,12,90,2.0
1,David Raya Martín,13,90,3.0
1,David Raya Martín,14,90,6.0
1,David Raya Martín,15,90,2.0
1,David Raya Martín,16,90,2.0
1,David Raya Martín,17,90,7.0
1,David Raya Martín,18,90,2.0
1,David Raya Martín,19,90,2.0
1,David Raya Martín,20,90,1.0
1,David Raya Martín,21,90,6.0
1,David Raya Martín,22,90,6.0
1,David Raya Martín,23,90,1.0
1,David Raya Martín,24,90,6.0
1,David Raya Martín,25,90,7.0
1,David Raya Martín,26,180,3.0
1,David Raya Martín,27,90,3.0
1,David Raya Martín,28,90,3.0
1,David Raya Martín,29,90,7.0
2,Kepa Arrizabalaga Revuelta,6,0,0.0
2,Kepa Arrizabalaga Revuelta,7,0,0.0
2,Kepa Arrizabalaga Revuelta,8,0,0.0
2,Kepa Arrizabalaga Revuelta,9,0,0.0
2,Kepa Arrizabalaga Revuelta,10,0,0.0
2,Kepa Arrizabalaga Revuelta,11,0,0.0
2,Kepa Arrizabalaga Revuelta,12,0,0.0
2,Kepa Arrizabalaga Revuelta,13,0,0.0
2,Kepa Arrizabalaga Revuelta,14,0,0.0
2,Kepa Arrizabalaga Revuelta,15,0,0.0
2,Kepa Arrizabalaga Revuelta,16,0,0.0
2,Kepa Arrizabalaga Revuelta,17,0,0.0
2,Kepa Arrizabalaga Revuelta,18,0,0.0
2,Kepa Arrizabalaga Revuelta,19,0,0.0
2,Kepa Arrizabalaga Revuelta,20,0,0.0
2,Kepa Arrizabalaga Revuelta,21,0,0.0
2,Kepa Arrizabalaga Revuelta,22,0,0.0
2,Kepa Arrizabalaga Revuelta,23,0,0.0
2,Kepa Arrizabalaga Revuelta,24,0,0.0
2,Kepa Arrizabalaga Revuelta,25,0,0.0
2,Kepa Arrizabalaga Revuelta,26,0,0.0
2,Kepa Arrizabalaga Revuelta,27,0,0.0
2,Kepa Arrizabalaga Revuelta,28,0,0.0
2,Kepa Arrizabalaga Revuelta,29,0,0.0
3,Karl Hein,6,0,0.0
3,Karl Hein,7,0,0.0
3,Karl Hein,8,0,0.0
3,Karl Hein,9,0,0.0
3,Karl Hein,10,0,0.0
3,Karl Hein,11,0,0.0
3,Karl Hein,12,0,0.0
3,Karl Hein,13,0,0.0
3,Karl Hein,14,0,0.0
3,Karl Hein,15,0,0.0
3,Karl Hein,16,0,0.0
3,Karl Hein,17,0,0.0
3,Karl Hein,18,0,0.0
3,Karl Hein,19,0,0.0
3,Karl Hein,20,0,0.0
3,Karl Hein,21,0,0.0
3,Karl Hein,22,0,0.0
3,Karl Hein,23,0,0.0
3,Karl Hein,24,0,0.0
3,Karl Hein,25,0,0.0
3,Karl Hein,26,0,0.0
3,Karl Hein,27,0,0.0
3,Karl Hein,28,0,0.0
3,Karl Hein,29,0,0.0
4,Tommy Setford,6,0,0.0
4,Tommy Setford,7,0,0.0
4,Tommy Setford,8,0,0.0
4,Tommy Setford,9,0,0.0
4,Tommy Setford,10,0,0.0
4,Tommy Setford,11,0,0.0
4,Tommy Setford,12,0,0.0
4,Tommy Setford,13,0,0.0
4,Tommy Setford,14,0,0.0
4,Tommy Setford,15,0,0.0
4,Tommy Setford,16,0,0.0
4,Tommy Setford,17,0,0.0
4,Tommy Setford,18,0,0.0
4,Tommy Setford,19,0,0.0
4,Tommy Setford,20,0,0.0
4,Tommy Setford,21,0,0.0
4,Tommy Setford,22,0,0.0
4,Tommy Setford,23,0,0.0
4,Tommy Setford,24,0,0.0
4,Tommy Setford,25,0,0.0
4,Tommy Setford,26,0,0.0
4,Tommy Setford,27,0,0.0
4,Tommy Setford,28,0,0.0
4,Tommy Setford,29,0,0.0
5,Gabriel dos Santos Magalhães,6,90,13.0
5,Gabriel dos Santos Magalhães,7,90,9.0
5,Gabriel dos Santos Magalhães,8,90,12.0
5,Gabriel dos Santos Magalhães,9,90,9.0
5,Gabriel dos Santos Magalhães,10,90,12.0
5,Gabriel dos Santos Magalhães,11,90,1.0
5,Gabriel dos Santos Magalhães,12,0,0.0
5,Gabriel dos Santos Magalhães,13,0,0.0
5,Gabriel dos Santos Magalhães,14,0,0.0
5,Gabriel dos Santos Magalhães,15,0,0.0
5,Gabriel dos Santos Magalhães,16,0,0.0
5,Gabriel dos Santos Magalhães,17,0,0.0
5,Gabriel dos Santos Magalhães,18,19,1.0
5,Gabriel dos Santos Magalhães,19,76,15.0
5,Gabriel dos Santos Magalhães,20,90,9.0
5,Gabriel dos Santos Magalhães,21,90,6.0
5,Gabriel dos Santos Magalhães,22,90,8.0
5,Gabriel dos Santos Magalhães,23,90,1.0
5,Gabriel dos Santos Magalhães,24,90,8.0
5,Gabriel dos Santos Magalhães,25,90,6.0
5,Gabriel dos Santos Magalhães,26,180,7.0
5,Gabriel dos Santos Magalhães,27,90,2.0
5,Gabriel dos Santos Magalhães,28,90,9.0
5,Gabriel dos Santos Magalhães,29,90,11.0
6,William Saliba,6,45,1.0
6,William Saliba,7,90,6.0
6,William Saliba,8,90,6.0
6,William Saliba,9,45,1.0
6,William Saliba,10,90,6.0
6,William Saliba,11,90,1.0
6,William Saliba,12,90,2.0
6,William Saliba,13,0,0.0
6,William Saliba,14,0,0.0
6,William Saliba,15,0,0.0
6,William Saliba,16,90,2.0
6,William Saliba,17,90,6.0
6,William Saliba,18,90,2.0
6,William Saliba,19,90,2.0
6,William Saliba,20,90,1.0
6,William Saliba,21,90,7.0
6,William Saliba,22,90,8.0
6,William Saliba,23,90,1.0
6,William Saliba,24,90,6.0
6,William Saliba,25,90,7.0
6,William Saliba,26,90,1.0
6,William Saliba,27,90,2.0
6,William Saliba,28,90,10.0
6,William Saliba,29,0,0.0
7,Riccardo Calafiori,6,69,1.0
7,Riccardo Calafiori,7,74,6.0
7,Riccardo Calafiori,8,90,6.0
7,Riccardo Calafiori,9,81,6.0
7,Riccardo Calafiori,10,71,6.0
7,Riccardo Calafiori,11,90,1.0
7,Riccardo Calafiori,12,90,2.0
7,Riccardo Calafiori,13,45,0.0
7,Riccardo Calafiori,14,90,7.0
7,Riccardo Calafiori,15,85,1.0
7,Riccardo Calafiori,16,0,0.0
7,Riccardo Calafiori,17,90,6.0
7,Riccardo Calafiori,18,0,0.0
7,Riccardo Calafiori,19,0,0.0
7,Riccardo Calafiori,20,0,0.0
7,Riccardo Calafiori,21,0,0.0
7,Riccardo Calafiori,22,0,0.0
7,Riccardo Calafiori,23,0,0.0
7,Riccardo Calafiori,24,15,1.0
7,Riccardo Calafiori,25,66,6.0
7,Riccardo Calafiori,26,10,2.0
7,Riccardo Calafiori,27,0,0.0
7,Riccardo Calafiori,28,0,0.0
7,Riccardo Calafiori,29,26,1.0
8,Jurriën Timber,6,90,2.0
8,Jurriën Timber,7,90,11.0
8,Jurriën Timber,8,90,6.0
8,Jurriën Timber,9,90,6.0
8,Jurriën Timber,10,90,6.0
8,Jurriën Timber,11,90,1.0
8,Jurriën Timber,12,90,5.0
8,Jurriën Timber,13,90,2.0
8,Jurriën Timber,14,46,1.0
8,Jurriën Timber,15,90,3.0
8,Jurriën Timber,16,90,2.0
8,Jurriën Timber,17,90,6.0
8,Jurriën Timber,18,0,0.0
8,Jurriën Timber,19,82,9.0
8,Jurriën Timber,20,90,3.0
8,Jurriën Timber,21,90,6.0
8,Jurriën Timber,22,90,5.0
8,Jurriën Timber,23,90,1.0
8,Jurriën Timber,24,90,5.0
8,Jurriën Timber,25,90,6.0
8,Jurriën Timber,26,180,3.0
8,Jurriën Timber,27,56,3.0
8,Jurriën Timber,28,90,8.0
8,Jurriën Timber,29,90,13.0
9,Jakub Kiwior,6,0,0.0
9,Jakub Kiwior,7,0,0.0
9,Jakub Kiwior,8,0,0.0
