feature,importance
minutes_lag1,0.42007694
ict_index_lag1,0.106127724
minutes_rolling3,0.09661648
total_points_rolling3,0.033741783
ict_index_rolling3,0.028388532
expected_goal_involvements_rolling3,0.027357884
ict_index_rolling5,0.023819704
minutes_rolling5,0.021899775
expected_goals_rolling3,0.021353168
expected_goal_involvements_lag1,0.021272536
influence_lag1,0.02069652
total_points_rolling5,0.019803831
expected_goal_involvements_rolling5,0.019495308
creativity_lag1,0.019417383
expected_goals_rolling5,0.019136077
threat_lag1,0.018537074
expected_goals_lag1,0.018460112
expected_assists_rolling3,0.017928239
expected_assists_lag1,0.015901597
expected_assists_rolling5,0.01538357
total_points_lag1,0.014585741
