gameweek,player_id,name,position,price,form,fixture_difficulty,predicted_points,actual_points
1,P01,Arjun,DEF,7.5,0.647,5,4.8,5
2,P01,Arjun,DEF,7.5,0.644,1,6.54,7
3,P01,Arjun,DEF,7.5,0.596,4,6.64,5
4,P01,Arjun,DEF,7.5,0.596,1,7.32,6
5,P01,Arjun,DEF,7.5,0.612,2,5.11,6
6,P01,Arjun,DEF,7.5,0.618,2,6.54,7
7,P01,Arjun,DEF,7.5,0.537,2,5.13,8
8,P01,Arjun,DEF,7.5,0.623,1,7.09,5
9,P01,Arjun,DEF,7.5,0.649,1,6.69,7
10,P01,Arjun,DEF,7.5,0.627,1,7.25,8
1,P02,Kabir,DEF,7.0,0.624,1,6.17,5
2,P02,Kabir,DEF,7.0,0.712,5,5.37,6
3,P02,Kabir,DEF,7.0,0.707,5,5.47,4
4,P02,Kabir,DEF,7.0,0.769,3,4.21,7
5,P02,Kabir,DEF,7.0,0.776,4,5.28,7
6,P02,Kabir,DEF,7.0,0.823,5,4.82,4
7,P02,Kabir,DEF,7.0,0.76,3,6.36,7
8,P02,Kabir,DEF,7.0,0.789,2,6.74,7
9,P02,Kabir,DEF,7.0,0.809,4,5.78,6
10,P02,Kabir,DEF,7.0,0.792,2,6.21,6
1,P03,Rohan,DEF,7.0,0.831,1,5.92,7
2,P03,Rohan,DEF,7.0,0.852,3,5.01,6
3,P03,Rohan,DEF,7.0,0.824,3,5.33,6
4,P03,Rohan,DEF,7.0,0.662,1,5.84,6
5,P03,Rohan,DEF,7.0,0.595,2,5.08,5
6,P03,Rohan,DEF,7.0,0.631,1,5.89,6
7,P03,Rohan,DEF,7.0,0.73,2,5.09,4
8,P03,Rohan,DEF,7.0,0.849,4,5.34,5
9,P03,Rohan,DEF,7.0,0.907,5,4.8,6
10,P03,Rohan,DEF,7.0,1.0,3,6.71,7
1,P04,Dev,DEF,9.0,0.615,3,6.74,8
2,P04,Dev,DEF,9.0,0.685,3,7.48,7
3,P04,Dev,DEF,9.0,0.627,1,7.45,7
4,P04,Dev,DEF,9.0,0.751,2,7.86,8
5,P04,Dev,DEF,9.0,0.684,2,7.79,8
6,P04,Dev,DEF,9.0,0.586,2,7.06,7
7,P04,Dev,DEF,9.0,0.591,3,6.94,6
8,P04,Dev,DEF,9.0,0.523,3,6.75,7
9,P04,Dev,DEF,9.0,0.543,4,6.25,6
10,P04,Dev,DEF,9.0,0.611,3,7.05,7
1,P05,Ayaan,MID,6.5,0.711,2,5.17,7
2,P05,Ayaan,MID,6.5,0.817,1,5.78,7
3,P05,Ayaan,MID,6.5,0.924,3,5.59,7
4,P05,Ayaan,MID,6.5,1.0,4,7.32,6
5,P05,Ayaan,MID,6.5,1.0,5,4.42,6
6,P05,Ayaan,MID,6.5,0.998,3,6.3,8
7,P05,Ayaan,MID,6.5,0.976,5,7.09,5
8,P05,Ayaan,MID,6.5,0.851,4,5.42,5
9,P05,Ayaan,MID,6.5,0.841,5,5.4,5
10,P05,Ayaan,MID,6.5,0.845,4,4.83,4
1,P06,Vihaan,MID,7.0,0.666,1,6.23,8
2,P06,Vihaan,MID,7.0,0.64,3,5.01,6
3,P06,Vihaan,MID,7.0,0.644,2,5.3,7
4,P06,Vihaan,MID,7.0,0.608,1,5.77,8
5,P06,Vihaan,MID,7.0,0.681,3,5.31,6
6,P06,Vihaan,MID,7.0,0.566,4,5.25,8
7,P06,Vihaan,MID,7.0,0.611,4,5.79,4
8,P06,Vihaan,MID,7.0,0.771,3,7.48,4
9,P06,Vihaan,MID,7.0,0.826,1,6.0,6
10,P06,Vihaan,MID,7.0,0.8,1,6.61,8
1,P07,Reyansh,MID,6.5,0.883,4,6.04,8
2,P07,Reyansh,MID,6.5,0.824,4,5.11,4
3,P07,Reyansh,MID,6.5,0.755,2,7.2,6
4,P07,Reyansh,MID,6.5,0.888,2,6.97,8
5,P07,Reyansh,MID,6.5,0.863,1,7.29,6
6,P07,Reyansh,MID,6.5,0.936,5,6.09,7
7,P07,Reyansh,MID,6.5,0.83,4,7.17,5
