team_id,code,pulse_id,team_name,short_name,fbref_name,understat_name,position,played,wins,draws,losses,points,form,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,3,1,Arsenal,ARS,,,1,0,0,0,0,0,,5,1305,1370,1340,1390,1270,1350
2,7,2,Aston Villa,AVL,,,4,0,0,0,0,0,,3,1155,1230,1140,1190,1170,1270
3,90,43,Burnley,BUR,,,19,0,0,0,0,0,,2,975,1045,910,1050,1040,1040
4,91,127,Bournemouth,BOU,,,6,0,0,0,0,0,,3,1145,1200,1060,1160,1230,1240
5,94,130,Brentford,BRE,,,9,0,0,0,0,0,,3,1125,1215,1110,1170,1140,1260
6,36,131,Brighton,BHA,,,8,0,0,0,0,0,,3,1165,1230,1130,1200,1200,1260
7,8,4,Chelsea,CHE,,,10,0,0,0,0,0,,4,1185,1225,1130,1170,1240,1280
8,31,6,Crystal Palace,CRY,,,15,0,0,0,0,0,,3,1140,1160,1130,1150,1150,1170
9,11,7,Everton,EVE,,,13,0,0,0,0,0,,3,1140,1145,1140,1140,1140,1150
10,54,34,Fulham,FUL,,,11,0,0,0,0,0,,3,1095,1190,1080,1170,1110,1210
11,2,9,Leeds,LEE,,,14,0,0,0,0,0,,3,1095,1195,1090,1160,1100,1230
12,14,10,Liverpool,LIV,,,5,0,0,0,0,0,,4,1235,1275,1170,1200,1300,1350
13,43,11,Man City,MCI,,,2,0,0,0,0,0,,4,1260,1350,1190,1310,1330,1390
14,1,12,Man Utd,MUN,,,3,0,0,0,0,0,,4,1230,1250,1170,1170,1290,1330
15,4,23,Newcastle,NEW,,,12,0,0,0,0,0,,3,1115,1205,1120,1120,1110,1290
16,17,15,Nott'm Forest,NFO,,,16,0,0,0,0,0,,3,1130,1160,1110,1160,1150,1160
17,56,29,Sunderland,SUN,,,7,0,0,0,0,0,,3,1090,1155,1090,1190,1090,1120
18,6,21,Spurs,TOT,,,17,0,0,0,0,0,,3,1145,1145,1120,1120,1150,1190
19,21,25,West Ham,WHU,,,18,0,0,0,0,0,,3,1095,1130,1060,1080,1130,1180
20,39,38,Wolves,WOL,,,20,0,0,0,0,0,,2,975,1060,950,1050,1000,1070
