metric_scope,gameweek,position,n,spearman,top10_overlap_pct,top20_overlap_pct,top50_overlap_pct
overall,,ALL,29675,0.7947375121966869,,,
gameweek,1.0,ALL,618,0.7584600186354163,20.0,25.0,48.0
gameweek,2.0,ALL,705,0.7890878644492901,40.0,45.0,52.0
gameweek,3.0,ALL,712,0.8191520497426167,30.0,60.0,56.00000000000001
gameweek,4.0,ALL,740,0.8199652996821911,10.0,30.0,56.00000000000001
gameweek,5.0,ALL,741,0.8081743204857748,10.0,25.0,40.0
gameweek,6.0,ALL,742,0.793183777385738,30.0,50.0,40.0
gameweek,7.0,ALL,743,0.8263385091699853,0.0,20.0,50.0
gameweek,8.0,ALL,745,0.8224295373275271,40.0,50.0,56.00000000000001
gameweek,9.0,ALL,746,0.7952806815994009,50.0,45.0,42.0
gameweek,10.0,ALL,747,0.8101169953040074,20.0,15.0,57.99999999999999
gameweek,11.0,ALL,752,0.8060110995747555,50.0,50.0,52.0
gameweek,12.0,ALL,755,0.7885642010129333,20.0,15.0,40.0
gameweek,13.0,ALL,755,0.7880819409352795,40.0,35.0,46.0
gameweek,14.0,ALL,758,0.8080685167545768,50.0,40.0,46.0
gameweek,15.0,ALL,759,0.8025469642151293,30.0,30.0,44.0
gameweek,16.0,ALL,760,0.8023199634371244,40.0,30.0,57.99999999999999
gameweek,17.0,ALL,770,0.7983636379078447,50.0,35.0,48.0
gameweek,18.0,ALL,775,0.8156135537856156,30.0,35.0,46.0
gameweek,19.0,ALL,780,0.7911441400910205,30.0,30.0,38.0
gameweek,20.0,ALL,790,0.8034228253695773,40.0,45.0,54.0
gameweek,21.0,ALL,795,0.7827972522362577,30.0,40.0,40.0
gameweek,22.0,ALL,799,0.7821856474535852,30.0,50.0,36.0
gameweek,23.0,ALL,803,0.7782148634868861,0.0,15.0,40.0
gameweek,24.0,ALL,811,0.7794891927501401,10.0,20.0,42.0
gameweek,25.0,ALL,817,0.79910026399112,40.0,40.0,48.0
gameweek,26.0,ALL,896,0.7944957199921796,20.0,40.0,50.0
gameweek,27.0,ALL,818,0.7853155845999115,30.0,30.0,42.0
gameweek,28.0,ALL,819,0.7764518250906738,30.0,30.0,50.0
gameweek,29.0,ALL,820,0.7980534857773091,20.0,30.0,48.0
gameweek,30.0,ALL,822,0.7966806395647393,10.0,15.0,32.0
gameweek,31.0,ALL,664,0.7886734315578364,20.0,35.0,44.0
gameweek,32.0,ALL,826,0.7801549040360243,40.0,30.0,44.0
gameweek,33.0,ALL,1077,0.7891236314316775,20.0,35.0,46.0
gameweek,34.0,ALL,582,0.7736237419520042,0.0,25.0,44.0
gameweek,35.0,ALL,832,0.7799661122370115,20.0,30.0,57.99999999999999
gameweek,36.0,ALL,920,0.7930470219099438,20.0,30.0,42.0
gameweek,37.0,ALL,840,0.7870880676935615,40.0,30.0,40.0
gameweek,38.0,ALL,841,0.7918890604376377,10.0,40.0,38.0
position,,DEF,9711,0.7881260271756796,,,
position,,FWD,3271,0.8115466909204396,,,
position,,GK,3418,0.7020517341539774,,,
position,,MID,13275,0.8132511953965575,,,
gameweek_mean,,ALL,29675,0.7948072721859027,26.842105263157894,33.55263157894737,46.1578947368421
gameweek_median,,ALL,772,0.7931153996478408,30.0,30.0,46.0
