feature,importance
minutes_last,0.18478963
goals_scored_min,0.032742415
ict_index_last,0.03104173
ict_index_mean,0.021557143
fixture_difficulty,0.014539617
was_home,0.013831146
penalties_missed_last,0.013332535
threat_mean,0.011408113
team_strength,0.011368521
threat_min,0.009884613
bonus_max,0.009572621
total_points_last,0.009454249
minutes_min,0.009127949
expected_goals_min,0.008877732
threat_last,0.008691718
expected_assists_max,0.008577515
influence_max,0.00848113
threat_max,0.008438008
minutes_max,0.008425479
expected_goal_involvements_last,0.008400862
creativity_max,0.00836896
expected_goal_involvements_max,0.008342751
team_attack_strength,0.008325977
expected_goals_max,0.00829915
bonus_std,0.008261413
expected_goal_involvements_min,0.008219877
ict_index_std,0.008015936
goals_scored_std,0.00799528
total_points_mean,0.007988268
influence_min,0.007934813
creativity_last,0.007852076
bps_min,0.007828683
goals_conceded_max,0.007828625
assists_max,0.007813098
team_defence_strength,0.0077710315
ict_index_min,0.007709763
bps_max,0.0076649203
red_cards_last,0.0076383804
clean_sheets_max,0.007606749
bps_last,0.0076016937
minutes_std,0.0076002474
expected_assists_std,0.0075596124
bps_std,0.007504253
ict_index_max,0.0074946634
expected_assists_min,0.007406697
value,0.0074040955
assists_std,0.0073914817
red_cards_std,0.007374414
influence_std,0.007343055
expected_goals_conceded_std,0.0073387665
total_points_min,0.007333877
bps_mean,0.007283817
expected_goals_conceded_max,0.007263335
creativity_min,0.0072369208
threat_std,0.0071897605
influence_last,0.00716401
opponent_defence_strength,0.0071420516
total_points_max,0.0070834723
expected_goals_last,0.0070642205
creativity_std,0.007035792
expected_goals_conceded_last,0.0070166546
goals_scored_last,0.006978642
bonus_mean,0.0068957713
own_goals_mean,0.006884402
transfers_balance,0.0068771797
creativity_mean,0.006867198
expected_goals_conceded_mean,0.0067656273
expected_goals_std,0.0067534987
clean_sheets_last,0.006753253
expected_goal_involvements_std,0.0067530745
expected_goal_involvements_mean,0.0067174677
expected_goals_conceded_min,0.0067093684
goals_conceded_std,0.0066959923
total_points_std,0.0066895103
yellow_cards_std,0.006661553
influence_mean,0.006619542
goals_conceded_last,0.0066194385
saves_min,0.0065863114
saves_last,0.0065065557
saves_std,0.006485156
expected_assists_last,0.00646592
clean_sheets_std,0.0062647224
opponent_attack_strength,0.006131727
assists_last,0.0059785284
goals_conceded_min,0.0057106083
yellow_cards_mean,0.0056468965
opponent_strength,0.005629878
goals_conceded_mean,0.0054796543
own_goals_std,0.005450204
saves_max,0.0053646876
saves_mean,0.0053082886
bonus_last,0.005244029
minutes_mean,0.0051826527
clean_sheets_mean,0.005133994
expected_assists_mean,0.005109418
goals_scored_mean,0.005095946
expected_goals_mean,0.0049684034
yellow_cards_last,0.0049605053
red_cards_max,0.0042778314
goals_scored_max,0.0040577357
penalties_missed_std,0.004009483
assists_mean,0.0038800812
penalties_missed_mean,0.0037367104
red_cards_mean,0.0034378918
own_goals_last,0.0025126603
penalties_saved_mean,0.0023006408
shots_mean,0.0
defensive_contribution_mean,0.0
key_passes_mean,0.0
recoveries_mean,0.0
recoveries_std,0.0
key_passes_std,0.0
shots_std,0.0
xgi_mean,0.0
xa_mean,0.0
tackles_mean,0.0
npxg_mean,0.0
xg_mean,0.0
clearances_blocks_interceptions_mean,0.0
penalties_missed_min,0.0
own_goals_min,0.0
red_cards_min,0.0
yellow_cards_min,0.0
penalties_saved_min,0.0
defensive_contribution_min,0.0
clearances_blocks_interceptions_min,0.0
xg_std,0.0
assists_min,0.0
xgi_std,0.0
npxg_std,0.0
defensive_contribution_std,0.0
clearances_blocks_interceptions_std,0.0
tackles_std,0.0
penalties_saved_std,0.0
clean_sheets_min,0.0
key_passes_min,0.0
shots_min,0.0
xa_std,0.0
recoveries_min,0.0
bonus_min,0.0
npxg_min,0.0
xg_min,0.0
recoveries_max,0.0
key_passes_max,0.0
shots_max,0.0
xgi_min,0.0
xa_min,0.0
tackles_min,0.0
xa_max,0.0
defensive_contribution_max,0.0
penalties_missed_max,0.0
penalties_saved_max,0.0
own_goals_max,0.0
yellow_cards_max,0.0
clearances_blocks_interceptions_max,0.0
xg_max,0.0
npxg_max,0.0
tackles_max,0.0
recoveries_last,0.0
key_passes_last,0.0
shots_last,0.0
xgi_max,0.0
defensive_contribution_last,0.0
clearances_blocks_interceptions_last,0.0
tackles_last,0.0
penalties_saved_last,0.0
xg_last,0.0
npxg_last,0.0
xgi_last,0.0
xa_last,0.0
position_GK,0.0
position_DEF,0.0
position_MID,0.0
position_FWD,0.0
