GW,Action,Chip,Match_Pts,Hits,Bank
1,[2 2 0 2],free_hit,65.0,0,0.0
2,[2 2 0 1],wildcard,101.0,0,0.5
3,[2 2 0 1],triple_captain,129.0,0,0.0
4,[2 2 0 1],bench_boost,99.0,0,0.3
5,[2 2 0 1],none,67.0,0,0.5
6,[2 2 0 1],none,46.0,0,0.6
7,[2 2 0 1],none,62.0,0,1.9
8,[2 2 0 1],none,76.0,0,0.0
9,[2 2 0 1],none,57.0,0,0.0
10,[2 2 0 1],none,69.0,0,1.4
11,[2 2 0 1],none,49.0,0,0.9
12,[2 2 0 1],none,63.0,0,0.1
13,[2 2 0 1],none,29.0,0,0.0
14,[2 2 0 1],none,59.0,0,0.0
15,[2 2 0 1],none,58.0,0,0.3
16,[2 2 0 1],none,60.0,0,0.0
17,[2 2 0 1],none,71.0,0,0.0
18,[2 2 0 1],none,58.0,0,0.3
19,[2 2 0 1],none,47.0,0,0.0
20,[2 2 0 1],none,31.0,0,0.2
21,[2 2 0 1],none,57.0,0,0.1
22,[2 2 0 1],none,42.0,0,0.2
23,[2 2 0 1],none,57.0,0,1.0
24,[2 2 0 1],none,56.0,0,0.0
25,[2 2 0 1],none,43.0,0,0.1
26,[2 2 0 1],none,62.0,0,0.1
27,[2 2 0 1],none,65.0,0,0.0
28,[2 2 0 1],none,34.0,0,0.6
29,[2 2 0 1],none,69.0,0,0.3
30,[2 2 0 1],none,35.0,0,0.7
31,[2 2 0 1],none,38.0,0,0.1
32,[2 2 0 1],none,61.0,0,0.0
33,[2 2 0 1],none,80.0,0,0.0
34,[2 2 0 1],none,40.0,0,0.0
35,[2 2 0 1],none,34.0,0,0.2
36,[2 2 0 1],none,48.0,0,0.0
37,[2 2 0 1],none,65.0,0,0.3
38,[2 2 0 1],none,26.0,0,0.0
