GW,Action,Chip,Captain,Vice_Captain,Match_Pts,Hits,Net_GW_Pts,Cumulative_Pts,Bank
1,[2 2 0 2],free_hit,Erling Haaland,Bryan Mbeumo,65.0,0,65.0,65.0,0.0
2,[2 2 0 1],wildcard,Erling Haaland,Viktor Gyökeres,101.0,0,101.0,166.0,0.5
3,[2 2 0 1],triple_captain,Erling Haaland,Enzo Fernández,129.0,0,129.0,295.0,0.0
4,[2 2 0 1],bench_boost,Erling Haaland,Cole Palmer,99.0,0,99.0,394.0,0.3
5,[2 2 0 1],none,Mohamed Salah,Hugo Ekitiké,67.0,0,67.0,461.0,0.5
6,[2 2 0 1],none,Erling Haaland,João Pedro Junqueira de Jesus,46.0,0,46.0,507.0,0.6
7,[2 2 0 1],none,Erling Haaland,Nick Woltemade,62.0,0,62.0,569.0,1.9
8,[2 2 0 1],none,Erling Haaland,Bukayo Saka,76.0,0,76.0,645.0,0.0
9,[2 2 0 1],none,Erling Haaland,Nick Woltemade,57.0,0,57.0,702.0,0.0
10,[2 2 0 1],none,Erling Haaland,Bryan Mbeumo,69.0,0,69.0,771.0,1.4
11,[2 2 0 1],none,Bryan Mbeumo,Danny Welbeck,49.0,0,49.0,820.0,0.9
12,[2 2 0 1],none,Bukayo Saka,Morgan Gibbs-White,63.0,0,63.0,883.0,0.1
13,[2 2 0 1],none,Erling Haaland,Leandro Trossard,29.0,0,29.0,912.0,0.0
14,[2 2 0 1],none,Pedro Lomba Neto,Erling Haaland,59.0,0,59.0,971.0,0.0
15,[2 2 0 1],none,Erling Haaland,Phil Foden,58.0,0,58.0,1029.0,0.3
16,[2 2 0 1],none,Bukayo Saka,Bruno Borges Fernandes,60.0,0,60.0,1089.0,0.0
17,[2 2 0 1],none,Erling Haaland,Bruno Borges Fernandes,71.0,0,71.0,1160.0,0.0
18,[2 2 0 1],none,Erling Haaland,Bruno Borges Fernandes,58.0,0,58.0,1218.0,0.3
19,[2 2 0 1],none,Erling Haaland,Rayan Cherki,47.0,0,47.0,1265.0,0.0
20,[2 2 0 1],none,Erling Haaland,Rayan Cherki,31.0,0,31.0,1296.0,0.2
21,[2 2 0 1],none,Erling Haaland,Igor Thiago Nascimento Rodrigues,57.0,0,57.0,1353.0,0.1
22,[2 2 0 1],none,Erling Haaland,Dominic Calvert-Lewin,42.0,0,42.0,1395.0,0.2
23,[2 2 0 1],none,Ollie Watkins,Enzo Fernández,57.0,0,57.0,1452.0,1.0
24,[2 2 0 1],none,Florian Wirtz,Bryan Mbeumo,56.0,0,56.0,1508.0,0.0
25,[2 2 0 1],none,Florian Wirtz,Matheus Santos Carneiro da Cunha,43.0,0,43.0,1551.0,0.1
26,[2 2 0 1],none,Jurriën Timber,Gabriel dos Santos Magalhães,62.0,0,62.0,1613.0,0.1
27,[2 2 0 1],none,Erling Haaland,Florian Wirtz,65.0,0,65.0,1678.0,0.0
28,[2 2 0 1],none,Erling Haaland,João Pedro Junqueira de Jesus,34.0,0,34.0,1712.0,0.6
29,[2 2 0 1],none,Erling Haaland,João Pedro Junqueira de Jesus,69.0,0,69.0,1781.0,0.3
30,[2 2 0 1],none,Mohamed Salah,João Pedro Junqueira de Jesus,35.0,0,35.0,1816.0,0.7
31,[2 2 0 1],none,João Pedro Junqueira de Jesus,Alex Iwobi,38.0,0,38.0,1854.0,0.1
32,[2 2 0 1],none,Igor Thiago Nascimento Rodrigues,Danny Welbeck,61.0,0,61.0,1915.0,0.0
33,[2 2 0 1],none,Danny Welbeck,Diego Gómez Amarilla,80.0,0,80.0,1995.0,0.0
34,[2 2 0 1],none,Norberto Bercique Gomes Betuncal,Morgan Gibbs-White,40.0,0,40.0,2035.0,0.0
35,[2 2 0 1],none,Morgan Rogers,Morgan Gibbs-White,34.0,0,34.0,2069.0,0.2
36,[2 2 0 1],none,Rayan Cherki,Jérémy Doku,48.0,0,48.0,2117.0,0.0
37,[2 2 0 1],none,Ollie Watkins,Igor Jesus Maciel da Cruz,65.0,0,65.0,2182.0,0.3
38,[2 2 0 1],none,Daniel James,Morgan Gibbs-White,26.0,0,26.0,2208.0,0.0
