gameweek,season,name,deadline_time,average_score,highest_score,highest_scoring_entry,finished,data_checked,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,transfers_made,most_selected,most_transferred_in,top_element,top_element_info
1,2122,Gameweek 1,2021-08-14 11:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
2,2122,Gameweek 2,2021-08-22 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
3,2122,Gameweek 3,2021-08-29 15:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
4,2122,Gameweek 4,2021-09-11 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
5,2122,Gameweek 5,2021-09-19 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
6,2122,Gameweek 6,2021-09-25 11:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
7,2122,Gameweek 7,2021-10-02 11:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
8,2122,Gameweek 8,2021-10-16 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
9,2122,Gameweek 9,2021-10-24 15:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
10,2122,Gameweek 10,2021-10-30 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
11,2122,Gameweek 11,2021-11-06 12:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
12,2122,Gameweek 12,2021-11-20 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
13,2122,Gameweek 13,2021-11-28 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
14,2122,Gameweek 14,2021-12-02 20:15:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
15,2122,Gameweek 15,2021-12-05 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
16,2122,Gameweek 16,2021-12-11 17:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
17,2122,Gameweek 17,2021-12-14 19:45:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
18,2122,Gameweek 18,2021-12-19 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
19,2122,Gameweek 19,2021-12-27 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
20,2122,Gameweek 20,2021-12-30 20:15:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
21,2122,Gameweek 21,2022-01-01 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
22,2122,Gameweek 22,2022-01-15 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
23,2122,Gameweek 23,2022-01-22 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
24,2122,Gameweek 24,2022-02-08 20:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
25,2122,Gameweek 25,2022-02-12 12:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
26,2122,Gameweek 26,2022-02-20 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
27,2122,Gameweek 27,2022-02-26 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
28,2122,Gameweek 28,2022-03-06 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
29,2122,Gameweek 29,2022-03-12 17:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
30,2122,Gameweek 30,2022-03-19 12:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
31,2122,Gameweek 31,2022-04-02 11:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
32,2122,Gameweek 32,2022-04-09 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
33,2122,Gameweek 33,2022-04-16 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
34,2122,Gameweek 34,2022-04-23 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
35,2122,Gameweek 35,2022-04-30 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
36,2122,Gameweek 36,2022-05-07 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
37,2122,Gameweek 37,2022-05-16 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
38,2122,Gameweek 38,2022-05-22 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
1,2223,Gameweek 1,2022-08-06 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
2,2223,Gameweek 2,2022-08-13 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
3,2223,Gameweek 3,2022-08-20 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
4,2223,Gameweek 4,2022-08-27 11:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
5,2223,Gameweek 5,2022-08-30 18:45:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
6,2223,Gameweek 6,2022-09-03 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
8,2223,Gameweek 8,2022-09-16 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
9,2223,Gameweek 9,2022-10-01 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
10,2223,Gameweek 10,2022-10-08 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
