season,fpl_id,first_name,second_name,full_name,web_name,team_id,element_type
1718,7,HÃ©ctor,BellerÃ­n,HÃ©ctor BellerÃ­n,BellerÃ­n,1,2
1718,9,Carl,Jenkinson,Carl Jenkinson,Jenkinson,1,2
1718,10,Nacho,Monreal,Nacho Monreal,Monreal,1,2
1718,11,Rob,Holding,Rob Holding,Holding,1,2
1718,12,Shkodran,Mustafi,Shkodran Mustafi,Mustafi,1,2
1718,13,Sead,Kolasinac,Sead Kolasinac,Kolasinac,1,2
1718,16,Mesut,Ãzil,Mesut Ãzil,Ãzil,1,3
1718,17,Santiago,Cazorla,Santiago Cazorla,Cazorla,1,3
1718,18,Aaron,Ramsey,Aaron Ramsey,Ramsey,1,3
1718,20,Francis,Coquelin,Francis Coquelin,Coquelin,1,3
1718,21,Alex,Iwobi,Alex Iwobi,Iwobi,1,3
1718,22,Mohamed,Elneny,Mohamed Elneny,Elneny,1,3
1718,23,Granit,Xhaka,Granit Xhaka,Xhaka,1,3
2223,3,Granit,Xhaka,Granit Xhaka,Xhaka,1,3
2223,4,Mohamed,Elneny,Mohamed Elneny,Elneny,1,3
2223,5,Rob,Holding,Rob Holding,Holding,1,2
2223,6,Thomas,Partey,Thomas Partey,Partey,1,3
2223,7,Martin,Ødegaard,Martin Ødegaard,Ødegaard,1,3
2223,8,Kieran,Tierney,Kieran Tierney,Tierney,1,2
2223,9,Nicolas,Pépé,Nicolas Pépé,Pépé,1,3
2223,10,Benjamin,White,Benjamin White,White,1,2
2223,11,Eddie,Nketiah,Eddie Nketiah,Nketiah,1,4
2223,12,Emile,Smith Rowe,Emile Smith Rowe,Smith Rowe,1,3
2223,13,Bukayo,Saka,Bukayo Saka,Saka,1,3
2223,14,Takehiro,Tomiyasu,Takehiro Tomiyasu,Tomiyasu,1,2
2223,15,Aaron,Ramsdale,Aaron Ramsdale,Ramsdale,1,1
2223,16,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,Gabriel,1,2
2223,17,Nuno,Varela Tavares,Nuno Varela Tavares,Tavares,1,2
2223,19,Gabriel,Martinelli Silva,Gabriel Martinelli Silva,Martinelli,1,3
2223,20,Pablo,Marí Villar,Pablo Marí Villar,Pablo Marí,1,2
2223,22,Lucas,Torreira di Pascua,Lucas Torreira di Pascua,Torreira,1,3
1718,77,Ben,Mee,Ben Mee,Mee,4,2
1718,176,Joe,Lolley,Joe Lolley,Lolley,8,3
1718,532,Serge,Aurier,Serge Aurier,Aurier,17,2
1819,1,Petr,Cech,Petr Cech,Cech,1,1
1819,2,Bernd,Leno,Bernd Leno,Leno,1,1
1819,3,Laurent,Koscielny,Laurent Koscielny,Koscielny,1,2
1819,4,HÃ©ctor,BellerÃ­n,HÃ©ctor BellerÃ­n,BellerÃ­n,1,2
1819,5,Nacho,Monreal,Nacho Monreal,Monreal,1,2
1819,6,Rob,Holding,Rob Holding,Holding,1,2
1819,7,Shkodran,Mustafi,Shkodran Mustafi,Mustafi,1,2
1819,8,Sead,Kolasinac,Sead Kolasinac,Kolasinac,1,2
1819,10,Konstantinos,Mavropanos,Konstantinos Mavropanos,Mavropanos,1,2
1819,11,Stephan,Lichtsteiner,Stephan Lichtsteiner,Lichtsteiner,1,2
1819,12,Sokratis,Papastathopoulos,Sokratis Papastathopoulos,Sokratis,1,2
1819,13,Mesut,Ãzil,Mesut Ãzil,Ãzil,1,3
1819,14,Aaron,Ramsey,Aaron Ramsey,Ramsey,1,3
1819,15,Alex,Iwobi,Alex Iwobi,Iwobi,1,3
1819,16,Mohamed,Elneny,Mohamed Elneny,Elneny,1,3
1819,17,Granit,Xhaka,Granit Xhaka,Xhaka,1,3
1819,18,Henrikh,Mkhitaryan,Henrikh Mkhitaryan,Mkhitaryan,1,3
1819,19,Reiss,Nelson,Reiss Nelson,Nelson,1,3
1819,20,Ainsley,Maitland-Niles,Ainsley Maitland-Niles,Maitland-Niles,1,3
1819,21,Danny,Welbeck,Danny Welbeck,Welbeck,1,4
1819,22,Alexandre,Lacazette,Alexandre Lacazette,Lacazette,1,4
1819,23,Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,Aubameyang,1,4
1819,450,Lucas,Torreira,Lucas Torreira,Torreira,1,3
1819,451,Matteo,Guendouzi,Matteo Guendouzi,Guendouzi,1,3
1819,542,Emiliano,MartÃ­nez,Emiliano MartÃ­nez,MartÃ­nez,1,1
1819,545,Emile,Smith-Rowe,Emile Smith-Rowe,Smith-Rowe,1,3
2324,1,Folarin,Balogun,Folarin Balogun,Balogun,1,4
2324,2,Cédric,Alves Soares,Cédric Alves Soares,Cédric,1,2
2324,3,Mohamed,Elneny,Mohamed Elneny,M.Elneny,1,3
2324,4,Fábio,Ferreira Vieira,Fábio Ferreira Vieira,Fábio Vieira,1,3
2324,5,Gabriel,dos Santos Magalhães,Gabriel dos Santos Magalhães,Gabriel,1,2
