player_id,code,team_id,first_name,second_name,player_name,web_name,fbref_name,understat_name,fbref_player_id,understat_player_id,position,position_code,nationality,date_of_birth,status,chance_of_playing_next_round,chance_of_playing_this_round,photo,news,news_added,understat_id
731,560552,2,Kevin,Santos Lopes de Macedo,Kevin Santos Lopes de Macedo,A. Garcia,,,,,MID,3,,,a,100,100,560552.jpg,,2026-02-22 23:00:10.122821,14030
592,499721,3,Mikey,Moore,Mikey Moore,J.Araujo,,,,,MID,3,,,a,0,0,499721.jpg,,2025-08-11 01:19:38.328172,
702,645618,3,Bradley,Burrowes,Bradley Burrowes,Harris,,,,,MID,3,,,a,,,645618.jpg,,,13870
713,551483,3,Álex,Jiménez Sánchez,Álex Jiménez Sánchez,Soler,,,,,DEF,2,,,a,100,0,551483.jpg,,2026-05-08 14:00:11.002926,12168
722,216055,3,Florentino Ibrain,Morris Luís,Florentino Ibrain Morris Luís,Adu-Adjei,,,,,MID,3,,,a,,,216055.jpg,,,8969
727,218328,3,Samuel,Chukwueze,Samuel Chukwueze,McKenna,,,,,MID,3,,,a,100,100,218328.jpg,,2026-02-20 16:30:09.110337,7208
728,513466,3,Merlin,Röhl,Merlin Röhl,Silcott-Duberry,,,,,MID,3,,,a,100,100,513466.jpg,,2025-11-21 15:00:09.732749,11331
314,80201,4,Bernd,Leno,Bernd Leno,Carvalho,,,,,GK,1,,,i,,,80201.jpg,Shoulder injury - Expected back 01 Jun,,181
338,244042,4,Rodrigo,Muniz Carvalho,Rodrigo Muniz Carvalho,Van den Berg,,,,,FWD,4,,,a,100,100,244042.jpg,,2025-11-08 19:00:09.014811,10717
602,483364,4,Krisztián,Hegyi,Krisztián Hegyi,Trevitt,,,,,GK,1,,,u,0,0,483364.jpg,Loaned to Exeter City,2026-01-15 12:52:30.178628,
759,616065,4,Marli,Salmon,Marli Salmon,Eyestone,,,,,DEF,2,,,a,,,616065.jpg,,,
628,149065,5,José,Malheiro de Sá,José Malheiro de Sá,F.Kadıoğlu,,,,,GK,1,,,i,100,100,149065.jpg,Toe Injury - Expected back 01 Jun,2026-05-01 15:00:10.548658,9740
629,79602,5,Daniel,Bentley,Daniel Bentley,O'Riley,,,,,GK,1,,,a,100,100,79602.jpg,,2026-01-15 19:30:10.431067,11361
854,,2,Finley,Munroe,Finley Munroe,Munroe,,,,,DEF,2,,,a,,,,,,
