season,team_id,team_name,short_name,understat_name,fbref_name
2122,13,,,,
2223,11,,,,
2324,16,,,,
2526,1,,,,
2425,4,,,,
2223,8,,,,
2122,7,,,,
2223,18,,,,
2223,16,,,,
2223,7,,,,
2122,2,,,,
2122,6,,,,
2425,18,,,,
2122,14,,,,
2223,20,,,,
2122,19,,,,
2425,12,,,,
2122,8,,,,
2526,10,,,,
2223,6,,,,
2223,5,,,,
2425,13,,,,
2526,14,,,,
2425,17,,,,
2324,17,,,,
2223,10,,,,
2324,11,,,,
2526,9,,,,
2122,11,,,,
2223,2,,,,
2425,16,,,,
2223,17,,,,
2223,12,,,,
2526,19,,,,
2324,1,,,,
2324,15,,,,
2526,15,,,,
2526,20,,,,
2324,2,,,,
2526,4,,,,
2425,11,,,,
2122,16,,,,
2425,14,,,,
2324,12,,,,
2526,3,,,,
2425,3,,,,
2324,18,,,,
2526,6,,,,
2425,10,,,,
2526,11,,,,
2324,14,,,,
2122,1,,,,
2526,16,,,,
2425,2,,,,
2425,20,,,,
2223,9,,,,
2526,5,,,,
2425,5,,,,
2122,9,,,,
2526,12,,,,
2425,8,,,,
2324,7,,,,
2324,13,,,,
2324,3,,,,
2425,19,,,,
2223,4,,,,
2425,6,,,,
2223,15,,,,
2223,3,,,,
2122,17,,,,
2324,20,,,,
2324,8,,,,
2122,15,,,,
2122,18,,,,
2526,17,,,,
2425,15,,,,
2425,7,,,,
2122,20,,,,
2122,3,,,,
2223,13,,,,
2122,10,,,,
2324,4,,,,
2425,9,,,,
2526,8,,,,
2122,12,,,,
2324,5,,,,
2526,7,,,,
2526,2,,,,
2223,19,,,,
2425,1,,,,
2526,13,,,,
2122,5,,,,
2324,9,,,,
2324,6,,,,
2223,14,,,,
2324,19,,,,
2526,18,,,,
2324,10,,,,
2122,4,,,,
2223,1,,,,
1617,1,Arsenal,,Arsenal,
1617,2,Bournemouth,,Bournemouth,
1617,3,Burnley,,Burnley,
1617,4,Chelsea,,Chelsea,
1617,5,Crystal Palace,,Crystal Palace,
1617,6,Everton,,Everton,
1617,7,Hull,,Hull,
1617,8,Leicester,,Leicester,
1617,9,Liverpool,,Liverpool,
1617,10,Man City,,Manchester City,
1617,11,Man Utd,,Manchester United,
1617,12,Middlesbrough,,Middlesbrough,
1617,13,Southampton,,Southampton,
1617,14,Stoke,,Stoke City,
1617,15,Sunderland,,Sunderland,
1617,16,Swansea,,Swansea,
1617,17,Spurs,,Tottenham,
1617,18,Watford,,Watford,
1617,19,West Brom,,West Bromwich Albion,
1617,20,West Ham,,West Ham,
1718,1,Arsenal,,Arsenal,
1718,2,Bournemouth,,Bournemouth,
1718,3,Brighton,,Brighton,
1718,4,Burnley,,Burnley,
1718,5,Chelsea,,Chelsea,
1718,6,Crystal Palace,,Crystal Palace,
1718,7,Everton,,Everton,
1718,8,Huddersfield,,Huddersfield,
1718,9,Leicester,,Leicester,
1718,10,Liverpool,,Liverpool,
1718,11,Man City,,Manchester City,
1718,12,Man Utd,,Manchester United,
1718,13,Newcastle,,Newcastle United,
1718,14,Southampton,,Southampton,
1718,15,Stoke,,Stoke City,
1718,16,Swansea,,Swansea,
1718,17,Spurs,,Tottenham,
1718,18,Watford,,Watford,
1718,19,West Brom,,West Bromwich Albion,
1718,20,West Ham,,West Ham,
1819,1,Arsenal,,Arsenal,
1819,2,Bournemouth,,Bournemouth,
1819,3,Brighton,,Brighton,
1819,4,Burnley,,Burnley,
1819,5,Cardiff,,Cardiff,
1819,6,Chelsea,,Chelsea,
1819,7,Crystal Palace,,Crystal Palace,
1819,8,Everton,,Everton,
1819,9,Fulham,,Fulham,
1819,10,Huddersfield,,Huddersfield,
1819,11,Leicester,,Leicester,
1819,12,Liverpool,,Liverpool,
1819,13,Man City,,Manchester City,
1819,14,Man Utd,,Manchester United,
1819,15,Newcastle,,Newcastle United,
1819,16,Southampton,,Southampton,
1819,17,Spurs,,Tottenham,
1819,18,Watford,,Watford,
1819,19,West Ham,,West Ham,
1819,20,Wolves,,Wolverhampton Wanderers,
1920,1,Arsenal,,Arsenal,
1920,2,Aston Villa,,Aston Villa,
1920,3,Bournemouth,,Bournemouth,
1920,4,Brighton,,Brighton,
1920,5,Burnley,,Burnley,
1920,6,Chelsea,,Chelsea,
1920,7,Crystal Palace,,Crystal Palace,
1920,8,Everton,,Everton,
1920,9,Leicester,,Leicester,
1920,10,Liverpool,,Liverpool,
1920,11,Man City,,Manchester City,
1920,12,Man Utd,,Manchester United,
1920,13,Newcastle,,Newcastle United,
1920,14,Norwich,,Norwich,
1920,15,Sheffield Utd,,Sheffield United,
1920,16,Southampton,,Southampton,
1920,17,Spurs,,Tottenham,
1920,18,Watford,,Watford,
1920,19,West Ham,,West Ham,
1920,20,Wolves,,Wolverhampton Wanderers,
2021,1,Arsenal,,Arsenal,
2021,2,Aston Villa,,Aston Villa,
2021,3,Brighton,,Brighton,
2021,4,Burnley,,Burnley,
2021,5,Chelsea,,Chelsea,
2021,6,Crystal Palace,,Crystal Palace,
2021,7,Everton,,Everton,
2021,8,Fulham,,Fulham,
2021,9,Leeds,,Leeds,
2021,10,Leicester,,Leicester,
2021,11,Liverpool,,Liverpool,
2021,12,Man City,,Manchester City,
2021,13,Man Utd,,Manchester United,
2021,14,Newcastle,,Newcastle United,
2021,15,Sheffield Utd,,Sheffield United,
2021,16,Southampton,,Southampton,
2021,17,Spurs,,Tottenham,
2021,18,West Brom,,West Bromwich Albion,
2021,19,West Ham,,West Ham,
2021,20,Wolves,,Wolverhampton Wanderers,
