model,slice,n,mae,rmse,within_1_pct,actual_mean,pred_mean,actual_ge6_pct,pred_ge6_pct
xgboost,overall,29675,1.2689202735912257,2.10674296515355,63.13395113732098,1.1554170176916596,2.0973686863201366,6.941870261162594,10.19039595619208
xgboost,0-2,25461,1.1254334461630737,1.9690612844045325,68.29268292682927,0.3556026864616472,1.4606722522610895,0.0,4.775931817289187
xgboost,3-5,2154,1.8396733538208732,2.353742749368988,35.42246982358403,3.747910863509749,5.251836424034535,0.0,29.108635097493035
xgboost,6-9,1550,1.7418381187608165,2.170713682075,35.483870967741936,7.076774193548387,6.362684016573813,100.0,51.54838709677419
xgboost,10+,510,4.584397368337594,5.193147283433992,6.666666666666667,12.13921568627451,7.59730131111893,100.0,74.90196078431373
xgboost,position_DEF,9711,1.4418165667586413,2.3246006836133093,59.10822778292658,1.238595407270106,2.3105270042721893,9.123674183915147,12.418906394810008
xgboost,position_FWD,3271,1.575043694618957,2.3839875252847853,56.34362580250688,1.281565270559462,2.530717986267684,7.4594925099358,15.010700091715071
xgboost,position_GK,3418,0.8617787471361855,1.6414370967492788,75.9801053247513,0.7492685781158572,1.4134063926221128,5.705090696313634,4.768870684610883
xgboost,position_MID,13275,1.1718418648750557,1.9683551719701884,64.44444444444444,1.168060263653484,2.0107635740112126,5.536723163841808,8.768361581920905
random_forest,overall,29675,1.081113620355376,1.8530654435288128,63.905644481887116,1.1554170176916596,1.7412090518056742,6.941870261162594,3.609098567818029
random_forest,0-2,25461,0.8941083029690998,1.568664725360746,68.80719531832999,0.3556026864616472,1.2413648854946258,0.0,1.378579003181336
random_forest,3-5,2154,1.1928483357752326,1.5722787330936183,52.59981429897864,3.747910863509749,4.229510744706791,0.0,8.913649025069638
random_forest,6-9,1550,2.370217210067205,2.775747285708682,19.032258064516128,7.076774193548387,5.049615033335591,100.0,20.32258064516129
random_forest,10+,510,6.027300375069621,6.56494190693026,3.3333333333333335,12.13921568627451,6.130819248992408,100.0,41.76470588235294
random_forest,position_DEF,9711,1.2217779315952826,2.030764942333436,61.157450314076826,1.238595407270106,1.8279859896146538,9.123674183915147,2.7803521779425395
random_forest,position_FWD,3271,1.2190452542956935,1.9566308763795586,57.68878018954449,1.281565270559462,2.0318483463597734,7.4594925099358,7.214918985019872
random_forest,position_GK,3418,0.7329325100247113,1.477658247162939,76.24341720304272,0.7492685781158572,1.1939028265324543,5.705090696313634,1.023990637799883
random_forest,position_MID,13275,1.0338757698123024,1.775868693594002,64.27118644067797,1.168060263653484,1.7470335868289821,5.536723163841808,3.992467043314501
ensemble,overall,29675,1.2689202735912257,2.10674296515355,63.13395113732098,1.1554170176916596,2.0973686863201366,6.941870261162594,10.19039595619208
ensemble,0-2,25461,1.1254334461630737,1.9690612844045325,68.29268292682927,0.3556026864616472,1.4606722522610895,0.0,4.775931817289187
ensemble,3-5,2154,1.8396733538208732,2.353742749368988,35.42246982358403,3.747910863509749,5.251836424034535,0.0,29.108635097493035
ensemble,6-9,1550,1.7418381187608165,2.170713682075,35.483870967741936,7.076774193548387,6.362684016573813,100.0,51.54838709677419
ensemble,10+,510,4.584397368337594,5.193147283433992,6.666666666666667,12.13921568627451,7.59730131111893,100.0,74.90196078431373
ensemble,position_DEF,9711,1.4418165667586413,2.3246006836133093,59.10822778292658,1.238595407270106,2.3105270042721893,9.123674183915147,12.418906394810008
ensemble,position_FWD,3271,1.575043694618957,2.3839875252847853,56.34362580250688,1.281565270559462,2.530717986267684,7.4594925099358,15.010700091715071
ensemble,position_GK,3418,0.8617787471361855,1.6414370967492788,75.9801053247513,0.7492685781158572,1.4134063926221128,5.705090696313634,4.768870684610883
ensemble,position_MID,13275,1.1718418648750557,1.9683551719701884,64.44444444444444,1.168060263653484,2.0107635740112126,5.536723163841808,8.768361581920905
