table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable
auth,audit_log_entries,1,instance_id,uuid,uuid,YES
auth,audit_log_entries,2,id,uuid,uuid,NO
auth,audit_log_entries,3,payload,json,json,YES
auth,audit_log_entries,4,created_at,timestamp with time zone,timestamptz,YES
auth,audit_log_entries,5,ip_address,character varying,varchar,NO
auth,custom_oauth_providers,1,id,uuid,uuid,NO
auth,custom_oauth_providers,2,provider_type,text,text,NO
auth,custom_oauth_providers,3,identifier,text,text,NO
auth,custom_oauth_providers,4,name,text,text,NO
auth,custom_oauth_providers,5,client_id,text,text,NO
auth,custom_oauth_providers,6,client_secret,text,text,NO
auth,custom_oauth_providers,7,acceptable_client_ids,ARRAY,_text,NO
auth,custom_oauth_providers,8,scopes,ARRAY,_text,NO
auth,custom_oauth_providers,9,pkce_enabled,boolean,bool,NO
auth,custom_oauth_providers,10,attribute_mapping,jsonb,jsonb,NO
auth,custom_oauth_providers,11,authorization_params,jsonb,jsonb,NO
auth,custom_oauth_providers,12,enabled,boolean,bool,NO
auth,custom_oauth_providers,13,email_optional,boolean,bool,NO
auth,custom_oauth_providers,14,issuer,text,text,YES
auth,custom_oauth_providers,15,discovery_url,text,text,YES
auth,custom_oauth_providers,16,skip_nonce_check,boolean,bool,NO
auth,custom_oauth_providers,17,cached_discovery,jsonb,jsonb,YES
auth,custom_oauth_providers,18,discovery_cached_at,timestamp with time zone,timestamptz,YES
auth,custom_oauth_providers,19,authorization_url,text,text,YES
auth,custom_oauth_providers,20,token_url,text,text,YES
auth,custom_oauth_providers,21,userinfo_url,text,text,YES
auth,custom_oauth_providers,22,jwks_uri,text,text,YES
auth,custom_oauth_providers,23,created_at,timestamp with time zone,timestamptz,NO
auth,custom_oauth_providers,24,updated_at,timestamp with time zone,timestamptz,NO
auth,custom_oauth_providers,25,custom_claims_allowlist,ARRAY,_text,NO
auth,flow_state,1,id,uuid,uuid,NO
auth,flow_state,2,user_id,uuid,uuid,YES
auth,flow_state,3,auth_code,text,text,YES
auth,flow_state,4,code_challenge_method,USER-DEFINED,code_challenge_method,YES
auth,flow_state,5,code_challenge,text,text,YES
auth,flow_state,6,provider_type,text,text,NO
auth,flow_state,7,provider_access_token,text,text,YES
auth,flow_state,8,provider_refresh_token,text,text,YES
auth,flow_state,9,created_at,timestamp with time zone,timestamptz,YES
auth,flow_state,10,updated_at,timestamp with time zone,timestamptz,YES
auth,flow_state,11,authentication_method,text,text,NO
auth,flow_state,12,auth_code_issued_at,timestamp with time zone,timestamptz,YES
auth,flow_state,13,invite_token,text,text,YES
auth,flow_state,14,referrer,text,text,YES
auth,flow_state,15,oauth_client_state_id,uuid,uuid,YES
auth,flow_state,16,linking_target_id,uuid,uuid,YES
auth,flow_state,17,email_optional,boolean,bool,NO
auth,identities,1,provider_id,text,text,NO
auth,identities,2,user_id,uuid,uuid,NO
auth,identities,3,identity_data,jsonb,jsonb,NO
auth,identities,4,provider,text,text,NO
auth,identities,5,last_sign_in_at,timestamp with time zone,timestamptz,YES
auth,identities,6,created_at,timestamp with time zone,timestamptz,YES
auth,identities,7,updated_at,timestamp with time zone,timestamptz,YES
auth,identities,8,email,text,text,YES
auth,identities,9,id,uuid,uuid,NO
auth,instances,1,id,uuid,uuid,NO
auth,instances,2,uuid,uuid,uuid,YES
auth,instances,3,raw_base_config,text,text,YES
auth,instances,4,created_at,timestamp with time zone,timestamptz,YES
auth,instances,5,updated_at,timestamp with time zone,timestamptz,YES
auth,mfa_amr_claims,1,session_id,uuid,uuid,NO
auth,mfa_amr_claims,2,created_at,timestamp with time zone,timestamptz,NO
auth,mfa_amr_claims,3,updated_at,timestamp with time zone,timestamptz,NO
auth,mfa_amr_claims,4,authentication_method,text,text,NO
auth,mfa_amr_claims,5,id,uuid,uuid,NO
auth,mfa_challenges,1,id,uuid,uuid,NO
auth,mfa_challenges,2,factor_id,uuid,uuid,NO
auth,mfa_challenges,3,created_at,timestamp with time zone,timestamptz,NO
auth,mfa_challenges,4,verified_at,timestamp with time zone,timestamptz,YES
auth,mfa_challenges,5,ip_address,inet,inet,NO
auth,mfa_challenges,6,otp_code,text,text,YES
auth,mfa_challenges,7,web_authn_session_data,jsonb,jsonb,YES
auth,mfa_factors,1,id,uuid,uuid,NO
auth,mfa_factors,2,user_id,uuid,uuid,NO
auth,mfa_factors,3,friendly_name,text,text,YES
auth,mfa_factors,4,factor_type,USER-DEFINED,factor_type,NO
auth,mfa_factors,5,status,USER-DEFINED,factor_status,NO
auth,mfa_factors,6,created_at,timestamp with time zone,timestamptz,NO
auth,mfa_factors,7,updated_at,timestamp with time zone,timestamptz,NO
auth,mfa_factors,8,secret,text,text,YES
auth,mfa_factors,9,phone,text,text,YES
auth,mfa_factors,10,last_challenged_at,timestamp with time zone,timestamptz,YES
auth,mfa_factors,11,web_authn_credential,jsonb,jsonb,YES
auth,mfa_factors,12,web_authn_aaguid,uuid,uuid,YES
auth,mfa_factors,13,last_webauthn_challenge_data,jsonb,jsonb,YES
auth,oauth_authorizations,1,id,uuid,uuid,NO
auth,oauth_authorizations,2,authorization_id,text,text,NO
auth,oauth_authorizations,3,client_id,uuid,uuid,NO
auth,oauth_authorizations,4,user_id,uuid,uuid,YES
auth,oauth_authorizations,5,redirect_uri,text,text,NO
auth,oauth_authorizations,6,scope,text,text,NO
auth,oauth_authorizations,7,state,text,text,YES
auth,oauth_authorizations,8,resource,text,text,YES
auth,oauth_authorizations,9,code_challenge,text,text,YES
auth,oauth_authorizations,10,code_challenge_method,USER-DEFINED,code_challenge_method,YES
auth,oauth_authorizations,11,response_type,USER-DEFINED,oauth_response_type,NO
auth,oauth_authorizations,12,status,USER-DEFINED,oauth_authorization_status,NO
auth,oauth_authorizations,13,authorization_code,text,text,YES
auth,oauth_authorizations,14,created_at,timestamp with time zone,timestamptz,NO
auth,oauth_authorizations,15,expires_at,timestamp with time zone,timestamptz,NO
auth,oauth_authorizations,16,approved_at,timestamp with time zone,timestamptz,YES
auth,oauth_authorizations,17,nonce,text,text,YES
auth,oauth_client_states,1,id,uuid,uuid,NO
auth,oauth_client_states,2,provider_type,text,text,NO
auth,oauth_client_states,3,code_verifier,text,text,YES
auth,oauth_client_states,4,created_at,timestamp with time zone,timestamptz,NO
auth,oauth_clients,1,id,uuid,uuid,NO
auth,oauth_clients,3,client_secret_hash,text,text,YES
auth,oauth_clients,4,registration_type,USER-DEFINED,oauth_registration_type,NO
auth,oauth_clients,5,redirect_uris,text,text,NO
auth,oauth_clients,6,grant_types,text,text,NO
auth,oauth_clients,7,client_name,text,text,YES
auth,oauth_clients,8,client_uri,text,text,YES
auth,oauth_clients,9,logo_uri,text,text,YES
