"table_schema","table_name","row_count"
"auth","audit_log_entries","0"
"auth","custom_oauth_providers","0"
"auth","flow_state","0"
"auth","identities","0"
"auth","instances","0"
"auth","mfa_amr_claims","0"
"auth","mfa_challenges","0"
"auth","mfa_factors","0"
"auth","oauth_authorizations","0"
"auth","oauth_client_states","0"
"auth","oauth_clients","0"
"auth","oauth_consents","0"
"auth","one_time_tokens","0"
"auth","refresh_tokens","0"
"auth","saml_providers","0"
"auth","saml_relay_states","0"
"auth","schema_migrations","77"
"auth","sessions","0"
"auth","sso_domains","0"
"auth","sso_providers","0"
"auth","users","0"
"auth","webauthn_challenges","0"
"auth","webauthn_credentials","0"
"extensions","pg_stat_statements","426"
"extensions","pg_stat_statements_info","1"
"processed","fbref_mapping_temp","0"
"processed","fixtures","5697"
"processed","gameweeks","189"
"processed","player_fbref_defending","2820"
"processed","player_fbref_goalkeeping","205"
"processed","player_fbref_match_logs","0"
"processed","player_fbref_passing","2820"
"processed","player_fbref_possession","2820"
"processed","player_fbref_shooting","2820"
"processed","player_fbref_standard","2820"
"processed","player_identity","466"
"processed","player_identity_history","7399"
"processed","player_market_history","377444"
"processed","player_match_stats","331611"
"processed","player_source_mapping","1432"
"processed","player_understat_history","4978"
"processed","players","866"
"processed","team_history","200"
"processed","teams","20"
"realtime","messages","0"
"realtime","schema_migrations","81"
"realtime","subscription","0"
"storage","buckets","0"
"storage","buckets_analytics","0"
"storage","buckets_vectors","0"
"storage","migrations","61"
"storage","objects","0"
"storage","s3_multipart_uploads","0"
"storage","s3_multipart_uploads_parts","0"
"storage","vector_indexes","0"
"vault","decrypted_secrets","0"
"vault","secrets","0"
