"table_schema","table_name","column_name","non_null","distinct_count","min_text","max_text"
"auth","mfa_factors","status","0","0","",
"auth","oauth_authorizations","status","0","0","",
"auth","users","email_change_confirm_status","0","0","",
"processed","fbref_mapping_temp","fbref_player_id","0","0","",
"processed","fbref_mapping_temp","player_id","0","0","",
"processed","fixtures","fixture_id","5697","380","1","99"
"processed","fixtures","season","5697","15","2016-17","2526"
"processed","fixtures","gameweek","5697","47","1","9"
"processed","fixtures","home_team_id","5697","20","1","9"
"processed","fixtures","away_team_id","5697","20","1","9"
"processed","fixtures","team_h_score","5316","10","0","9"
"processed","fixtures","team_a_score","5316","10","0","9"
"processed","fixtures","minutes","1900","2","0","90"
"processed","fixtures","team_h_difficulty","1900","5","1","5"
"processed","fixtures","team_a_difficulty","1900","5","1","5"
"processed","gameweeks","gameweek","189","38","1","9"
"processed","gameweeks","season","189","5","2025/26","2425"
"processed","gameweeks","most_selected","0","0","",
"processed","gameweeks","top_element","38","37","107","82"
"processed","gameweeks","top_element_info","38","38","{'id': 107, 'points': 21}","{'id': 82, 'points': 18}"
"processed","player_fbref_defending","player_id","2673","809","1","99"
"processed","player_fbref_defending","season","2820","5","2122","2526"
"processed","player_fbref_goalkeeping","player_id","197","155","1","91"
"processed","player_fbref_goalkeeping","season","205","5","2122","2526"
"processed","player_fbref_goalkeeping","minutes","205","96","1","900"
"processed","player_fbref_match_logs","player_id","0","0","",
"processed","player_fbref_match_logs","fbref_player_id","0","0","",
"processed","player_fbref_match_logs","fbref_player_name","0","0","",
"processed","player_fbref_match_logs","season","0","0","",
"processed","player_fbref_match_logs","gameweek_date","0","0","",
"processed","player_fbref_match_logs","minutes","0","0","",
"processed","player_fbref_match_logs","shot_xg","0","0","",
"processed","player_fbref_match_logs","shot_npxg","0","0","",
"processed","player_fbref_match_logs","shot_xg_per_shot","0","0","",
"processed","player_fbref_passing","player_id","2673","809","1","99"
"processed","player_fbref_passing","season","2820","5","2122","2526"
"processed","player_fbref_possession","player_id","2673","809","1","99"
"processed","player_fbref_possession","season","2820","5","2122","2526"
"processed","player_fbref_shooting","player_id","2673","809","1","99"
"processed","player_fbref_shooting","season","2820","5","2122","2526"
"processed","player_fbref_standard","player_id","2673","809","1","99"
"processed","player_fbref_standard","season","2820","5","2122","2526"
"processed","player_fbref_standard","minutes","2820","1706","1","998"
"processed","player_fbref_standard","minutes_90s","2820","378","0.00","9.90"
"processed","player_identity","understat_id","466","466","10004","9983"
"processed","player_identity","understat_name","466","466","Aaron Hickey","Zach Abbott"
"processed","player_identity","fpl_team","466","20","Arsenal","Sunderland"
"processed","player_identity","understat_team","466","38","Arsenal","Wolverhampton Wanderers"
"processed","player_identity","understat_last_season","466","5","2021","2025"
"processed","player_identity_history","season","7399","10","1617","2526"
"processed","player_identity_history","team_id","7399","20","1","9"
"processed","player_identity_history","element_type","7399","5","1","5"
"processed","player_market_history","player_id","377444","866","1","99"
"processed","player_market_history","fixture_id","377444","380","1","99"
"processed","player_market_history","gameweek","377444","47","1","9"
"processed","player_market_history","season","377444","15","2016-17","2526"
"processed","player_match_stats","player_id","331611","866","1","99"
"processed","player_match_stats","fixture_id","331611","380","1","99"
"processed","player_match_stats","team_id","331611","20","1","9"
"processed","player_match_stats","opponent_team_id","331611","20","1","9"
"processed","player_match_stats","gameweek","331611","47","1","9"
"processed","player_match_stats","season","331611","15","2016-17","2526"
"processed","player_match_stats","minutes","331611","91","0","90"
"processed","player_match_stats","total_points","331611","35","-1","9"
"processed","player_match_stats","npxg","52912","6738","0","2.43924"
"processed","player_match_stats","xg","52912","6741","0","2.44389"
"processed","player_match_stats","xa","52912","5592","0","2.09522"
"processed","player_match_stats","xgi","52912","8618","0","3.22754"
"processed","player_match_stats","understat_position","52912","17","AMC","Sub"
"processed","player_source_mapping","source_player_id","1432","755","1","99"
"processed","player_source_mapping","season","1432","4","2122","2425"
"processed","player_source_mapping","internal_player_id","1432","563","1","99"
"processed","player_understat_history","season","4978","10","1617","2526"
"processed","player_understat_history","understat_id","4978","1718","10004","998"
"processed","player_understat_history","understat_name","4978","1715","Aaron Connolly","Zlatan Ibrahimovic"
"processed","player_understat_history","understat_team","4978","125","Arsenal","Wolverhampton Wanderers"
"processed","players","player_id","866","866","1","99"
"processed","players","team_id","866","20","1","9"
"processed","players","player_name","866","858","Aarón Anselmino","Zian Flemming"
"processed","players","understat_name","0","0","",
"processed","players","fbref_player_id","0","0","",
"processed","players","understat_player_id","0","0","",
"processed","players","status","866","5","a","u"
"processed","players","chance_of_playing_next_round","630","5","0","75"
"processed","players","chance_of_playing_this_round","630","5","0","75"
"processed","players","understat_id","537","537","10004","9983"
"processed","team_history","season","200","10","1617","2526"
"processed","team_history","team_id","200","20","1","9"
"processed","team_history","team_name","100","30","Arsenal","Wolves"
"processed","team_history","understat_name","100","30","Arsenal","Wolverhampton Wanderers"
"processed","teams","team_id","20","20","1","9"
"processed","teams","team_name","20","20","Arsenal","Wolves"
"processed","teams","understat_name","0","0","",
"processed","teams","points","20","1","0","0"
"realtime","messages","event","0","0","",
"realtime","subscription","selected_columns","0","0","",
