table_schema,table_name,table_type
auth,audit_log_entries,BASE TABLE
auth,custom_oauth_providers,BASE TABLE
auth,flow_state,BASE TABLE
auth,identities,BASE TABLE
auth,instances,BASE TABLE
auth,mfa_amr_claims,BASE TABLE
auth,mfa_challenges,BASE TABLE
auth,mfa_factors,BASE TABLE
auth,oauth_authorizations,BASE TABLE
auth,oauth_client_states,BASE TABLE
auth,oauth_clients,BASE TABLE
auth,oauth_consents,BASE TABLE
auth,one_time_tokens,BASE TABLE
auth,refresh_tokens,BASE TABLE
auth,saml_providers,BASE TABLE
auth,saml_relay_states,BASE TABLE
auth,schema_migrations,BASE TABLE
auth,sessions,BASE TABLE
auth,sso_domains,BASE TABLE
auth,sso_providers,BASE TABLE
auth,users,BASE TABLE
auth,webauthn_challenges,BASE TABLE
auth,webauthn_credentials,BASE TABLE
extensions,pg_stat_statements,VIEW
extensions,pg_stat_statements_info,VIEW
processed,fbref_mapping_temp,BASE TABLE
processed,fixtures,BASE TABLE
processed,gameweeks,BASE TABLE
processed,player_fbref_defending,BASE TABLE
processed,player_fbref_goalkeeping,BASE TABLE
processed,player_fbref_match_logs,BASE TABLE
processed,player_fbref_passing,BASE TABLE
processed,player_fbref_possession,BASE TABLE
processed,player_fbref_shooting,BASE TABLE
processed,player_fbref_standard,BASE TABLE
processed,player_identity,BASE TABLE
processed,player_identity_history,BASE TABLE
processed,player_market_history,BASE TABLE
processed,player_match_stats,BASE TABLE
processed,player_source_mapping,BASE TABLE
processed,player_understat_history,BASE TABLE
processed,players,BASE TABLE
processed,team_history,BASE TABLE
processed,teams,BASE TABLE
realtime,messages,BASE TABLE
realtime,schema_migrations,BASE TABLE
realtime,subscription,BASE TABLE
storage,buckets,BASE TABLE
storage,buckets_analytics,BASE TABLE
storage,buckets_vectors,BASE TABLE
storage,migrations,BASE TABLE
storage,objects,BASE TABLE
storage,s3_multipart_uploads,BASE TABLE
storage,s3_multipart_uploads_parts,BASE TABLE
storage,vector_indexes,BASE TABLE
vault,decrypted_secrets,VIEW
vault,secrets,BASE TABLE
